"Account Number","Account Name","Type","Detail Type"
"111","11 Imobilizações corpóreas: Terrenos e recursos naturais","Ativos imobilizados","Terreno"
"112","11 Imobilizações corpóreas: Edifícios e outras construções","Ativos imobilizados","Prédios"
"113","11 Imobilizações corpóreas: Equipamento básico","Ativos imobilizados","Máquinas e equipamentos"
"114","11 Imobilizações corpóreas: Equipamento de carga e transporte","Ativos imobilizados","Veículos"
"115","11 Imobilizações corpóreas: Equipamento administrativo","Ativos imobilizados","Móveis e utensílios"
"116","11 Imobilizações corpóreas: Taras e vasilhame","Ativos imobilizados","Outros ativos imobilizados"
"119","11 Imobilizações corpóreas: Outras imobilizações corpóreas","Ativos imobilizados","Outros ativos imobilizados"
"121","12 Imobilizações incorpóreas: Trespasses","Ativos imobilizados","Ágio"
"122","12 Imobilizações incorpóreas: Despesas de investigação e desenvolvimento","Ativos imobilizados","Ativos intangíveis"
"123","12 Imobilizações incorpóreas: Propriedade industrial e outros direitos e contratos","Ativos imobilizados","Ativos intangíveis"
"124","12 Imobilizações incorpóreas: Despesas de constituição","Ativos imobilizados","Custos de organização"
"129","12 Imobilizações incorpóreas: Outras imobilizações incorpóreas","Ativos imobilizados","Outros ativos imobilizados"
"131","13 Investimentos Financeiros: Empresas subsidiárias","Ativos não circulantes","Investimentos de longo prazo"
"132","13 Investimentos Financeiros: Empresas associadas","Ativos não circulantes","Investimentos de longo prazo"
"133","13 Investimentos Financeiros: Outras empresas","Ativos não circulantes","Investimentos de longo prazo"
"134","13 Investimentos Financeiros: Investimentos em imóveis","Ativos não circulantes","Investimentos de longo prazo"
"135","13 Investimentos Financeiros: Fundos","Ativos não circulantes","Investimentos de longo prazo"
"139","13 Investimentos Financeiros: Outros investimentos Financeiros","Ativos não circulantes","Investimentos de longo prazo"
"141","14 Imobilizações em Curso: Obra em curso","Ativos imobilizados","Outros ativos imobilizados"
"142","14 Imobilizações em Curso: Obra em curso","Ativos imobilizados","Outros ativos imobilizados"
"147","14 Imobilizações em Curso: Adiantamentos por conta de imobilizado corpóreo","Ativos imobilizados","Outros ativos imobilizados"
"148","14 Imobilizações em Curso: Adiantamentos por conta de imobilizado incorpóreo","Ativos imobilizados","Outros ativos imobilizados"
"149","14 Imobilizações em Curso: Adiantamentos por conta de investimentos financeiros","Ativos imobilizados","Outros ativos imobilizados"
"181","18 Amortizações Acumuladas: Imobilizações corpóreas","Ativos imobilizados","Depreciação acumulada em ativos imobilizados."
"182","18 Amortizações Acumuladas: Imobilizações incorpóreas","Ativos imobilizados","Depreciação acumulada em ativos imobilizados."
"183","18 Amortizações Acumuladas: Investimentos financeiros em imóveis","Ativos imobilizados","Depreciação acumulada em ativos imobilizados."
"191","19 Provisões para investimentos financeiros: Empresas subsidiárias","Ativos não circulantes","Outros ativos não circulantes"
"192","19 Provisões para investimentos financeiros: Empresas associadas","Ativos não circulantes","Outros ativos não circulantes"
"193","19 Provisões para investimentos financeiros: Outras empresas","Ativos não circulantes","Outros ativos não circulantes"
"194","19 Provisões para investimentos financeiros: Fundos","Ativos não circulantes","Outros ativos não circulantes"
