"Account Number","Account Name","Type","Detail Type"
"11141","1114 Terrenos com edifícios: Relativos a edifícios industriais","Ativos imobilizados","Terreno"
"11142","1114 Terrenos com edifícios: Relativos a edifícios administrativos e comerciais","Ativos imobilizados","Terreno"
"11143","1114 Terrenos com edifícios: Relativos a outros edifícios","Ativos imobilizados","Terreno"
"11211","1121 Edifícios: Integrados em conjuntos industriais","Ativos imobilizados","Prédios"
"31111","3111 Grupo: Subsidiárias","Contas a receber (C/R)","Contas a Receber (C/R)"
"31112","3111 Grupo: Associadas","Contas a receber (C/R)","Contas a Receber (C/R)"
"31121","3112 Não grupo: Nacionais","Contas a receber (C/R)","Contas a Receber (C/R)"
"31122","3112 Não grupo: Estrangeiros","Contas a receber (C/R)","Contas a Receber (C/R)"
"31211","3121 Grupo: Subsidiárias","Contas a receber (C/R)","Contas a Receber (C/R)"
"31212","3121 Grupo: Associadas","Contas a receber (C/R)","Contas a Receber (C/R)"
"31221","3122 Não grupo: Nacionais","Contas a receber (C/R)","Contas a Receber (C/R)"
"31222","3122 Não grupo: Estrangeiros","Contas a receber (C/R)","Contas a Receber (C/R)"
"31311","3131 Grupo: Subsidiárias","Contas a receber (C/R)","Contas a Receber (C/R)"
"31312","3131 Grupo: Associadas","Contas a receber (C/R)","Contas a Receber (C/R)"
"31321","3132 Não grupo: Nacionais","Contas a receber (C/R)","Contas a Receber (C/R)"
"31322","3132 Não grupo: Estrangeiros","Contas a receber (C/R)","Contas a Receber (C/R)"
"32111","3211 Grupo: Subsidiárias","Contas a pagar (C/P)","Contas a pagar (C/P)"
"32112","3211 Grupo: Associadas","Contas a pagar (C/P)","Contas a pagar (C/P)"
"32121","3212 Não grupo: Nacionais","Contas a pagar (C/P)","Contas a pagar (C/P)"
"32122","3212 Não grupo: Estrangeiros","Contas a pagar (C/P)","Contas a pagar (C/P)"
"32211","3221 Grupo: Subsidiárias","Contas a pagar (C/P)","Contas a pagar (C/P)"
"32212","3221 Grupo: Associadas","Contas a pagar (C/P)","Contas a pagar (C/P)"
"32221","3222 Não grupo: Nacionais","Contas a pagar (C/P)","Contas a pagar (C/P)"
"32222","3222 Não grupo: Estrangeiros","Contas a pagar (C/P)","Contas a pagar (C/P)"
"33111","3311 Moeda nacional: Banco ___","Passivos não circulantes","Títulos a pagar"
"33121","3312 Moeda estrangeira: Banco ___","Passivos não circulantes","Títulos a pagar"
"33211","3321 Convertíveis: Entidade ___","Passivos não circulantes","Títulos a pagar"
"33221","3322 Não convertíveis: Entidade ___","Passivos não circulantes","Títulos a pagar"
"34511","3451 IVA suportado: Existências","Passivos circulantes","obrigação tributária corrente"
"34512","3451 IVA suportado: Meios fixos e investimentos","Passivos circulantes","obrigação tributária corrente"
"34513","3451 IVA suportado: Outros bens e serviços","Passivos circulantes","obrigação tributária corrente"
"34521","3452 IVA dedutível: Existências","Passivos circulantes","obrigação tributária corrente"
"34522","3452 IVA dedutível: Meios fixos e investimentos","Passivos circulantes","obrigação tributária corrente"
"34523","3452 IVA dedutível: Outros bens e serviços","Passivos circulantes","obrigação tributária corrente"
"34531","3453 IVA liquidado: Operações gerais","Passivos circulantes","obrigação tributária corrente"
"34532","3453 IVA liquidado: Operações abrangidas pelo regime de IVA de caixa","Passivos circulantes","obrigação tributária corrente"
"34533","3453 IVA liquidado: Autoconsumo e operações gratuitas","Passivos circulantes","obrigação tributária corrente"
"34534","3453 IVA liquidado: Operações especiais","Passivos circulantes","obrigação tributária corrente"
"34541","3454 IVA regularizações: Mensais a favor do sujeito passivo","Passivos circulantes","obrigação tributária corrente"
"34542","3454 IVA regularizações: Mensais a favor do Estado","Passivos circulantes","obrigação tributária corrente"
"34543","3454 IVA regularizações: Anual por cálculo do pró rata definitivo","Passivos circulantes","obrigação tributária corrente"
"34544","3454 IVA regularizações: Outras regularizações anuais","Passivos circulantes","obrigação tributária corrente"
"34551","3455 IVA apuramento: Apuramento do regime de IVA normal","Passivos circulantes","obrigação tributária corrente"
"34552","3455 IVA apuramento: Apuramento do regime de IVA de caixa","Passivos circulantes","obrigação tributária corrente"
"34561","3456 IVA a pagar: IVA a pagar de apuramento","Passivos circulantes","obrigação tributária corrente"
"34562","3456 IVA a pagar: IVA a pagar de cativo","Passivos circulantes","obrigação tributária corrente"
"34563","3456 IVA a pagar: IVA a pagar de liquidações oficiosas","Passivos circulantes","obrigação tributária corrente"
"34571","3457 IVA a recuperar: IVA a recuperar de apuramentos","Passivos circulantes","obrigação tributária corrente"
"34572","3457 IVA a recuperar: IVA a recuperar de cativo","Passivos circulantes","obrigação tributária corrente"
"34581","3458 IVA reembolsos pedidos: Reembolsos pedidos","Passivos circulantes","obrigação tributária corrente"
"34582","3458 IVA reembolsos pedidos: Reembolsos deferidos","Passivos circulantes","obrigação tributária corrente"
"34583","3458 IVA reembolsos pedidos: Reembolsos indeferidos","Passivos circulantes","obrigação tributária corrente"
