"Account Number","Account Name","Type","Detail Type"
"11","1 Meios fixos e investimentos: Imobilizações corpóreas","Ativos imobilizados","Outros ativos imobilizados"
"12","1 Meios fixos e investimentos: Imobilizações incorpóreas","Ativos não circulantes","Outros ativos não circulantes"
"13","1 Meios fixos e investimentos: Investimentos Financeiros","Ativos não circulantes","Investimentos de longo prazo"
"14","1 Meios fixos e investimentos: Imobilizações em Curso","Ativos imobilizados","Outros ativos imobilizados"
"18","1 Meios fixos e investimentos: Amortizações Acumuladas","Ativos imobilizados","Depreciação acumulada em ativos imobilizados."
"19","1 Meios fixos e investimentos: Provisões para investimentos financeiros","Ativos não circulantes","Outros ativos não circulantes"
"21","2 Existências: Compras","Custo de mercadorias vendidas","Outros custos das mercadorias vendidas - CMV"
"22","2 Existências: Matérias-primas, subsidiárias e de consumo","Ativos circulantes","Estoque"
"23","2 Existências: Produtos e trabalhos em curso","Ativos circulantes","Estoque"
"24","2 Existências: Produtos acabados e intermédios","Ativos circulantes","Estoque"
"25","2 Existências: Sub-produtos, desperdícios, resíduos e refugos","Ativos circulantes","Estoque"
"26","2 Existências: Mercadorias","Ativos circulantes","Estoque"
"27","2 Existências: Matérias-primas, mercadorias e outros materiais em trânsito","Ativos circulantes","Estoque"
"28","2 Existências: Adiantamentos por conta de compras","Ativos circulantes","Despesas pagas antecipadamente"
"29","2 Existências: Provisão para depreciação de existências","Ativos circulantes","Outros ativos circulantes"
"31","3 Terceiros: Clientes","Contas a receber (C/R)","Contas a Receber (C/R)"
"32","3 Terceiros: Fornecedores","Contas a pagar (C/P)","Contas a pagar (C/P)"
"33","3 Terceiros: Empréstimos","Passivos não circulantes","Títulos a pagar"
"34","3 Terceiros: Estado","Passivos circulantes","obrigação tributária corrente"
"35","3 Terceiros: Entidades participantes e participadas","Passivos circulantes","Outros passivos circulantes"
"36","3 Terceiros: Pessoal","Passivos circulantes","Compensação da folha de pagamento"
"37","3 Terceiros: Outros valores a receber e a pagar","Passivos circulantes","Outros passivos circulantes"
"38","3 Terceiros: Provisões para cobranças duvidosas","Ativos circulantes","Provisão para créditos de liquidação duvidosa"
"39","3 Terceiros: Provisões para outros riscos e encargos","Passivos circulantes","Outros passivos circulantes"
"41","4 Meios monetários: Títulos negociáveis","Ativos circulantes","Investimentos - Outros"
"42","4 Meios monetários: Depósitos a prazo","Caixa e equivalentes-caixa","Poupança"
"43","4 Meios monetários: Depósitos à ordem","Caixa e equivalentes-caixa","Banco"
"44","4 Meios monetários: Outros depósitos","Caixa e equivalentes-caixa","Poupança"
"45","4 Meios monetários: Caixa","Caixa e equivalentes-caixa","Dinheiro em caixa"
"48","4 Meios monetários: Conta transitória","Ativos circulantes","Fundos não depositados"
"49","4 Meios monetários: Provisões para aplicações de tesouraria","Ativos circulantes","Outros ativos circulantes"
"51","5 Capital e reservas: Capital","Capital do proprietário","Capital social"
"52","5 Capital e reservas: Acções/quotas próprias","Capital do proprietário","Ações em tesouraria"
"53","5 Capital e reservas: Prémios de emissão","Capital do proprietário","Capital integralizado ou excedente"
"54","5 Capital e reservas: Prestações suplementares","Capital do proprietário","Contribuições de sócios"
"55","5 Capital e reservas: Reservas legais","Capital do proprietário","Lucros acumulados"
"56","5 Capital e reservas: Reservas de reavaliação","Capital do proprietário","Ajuste acumulado"
"57","5 Capital e reservas: Reservas com fins especiais","Capital do proprietário","Lucros acumulados"
"58","5 Capital e reservas: Reservas livres","Capital do proprietário","Lucros acumulados"
"61","6 Proveitos e ganhos por natureza: Vendas","Receita","Receita de venda de produtos"
"62","6 Proveitos e ganhos por natureza: Prestações de serviço","Receita","Lucro de serviços/comissão"
"63","6 Proveitos e ganhos por natureza: Outros proveitos operacionais","Receita","Outros rendimentos primários"
"64","6 Proveitos e ganhos por natureza: Variação nos inventários de produtos acabados e de produção em curso","Receita","Outros rendimentos primários"
"65","6 Proveitos e ganhos por natureza: Trabalhos para a própria empresa","Receita","Outros rendimentos primários"
"66","6 Proveitos e ganhos por natureza: Proveitos e ganhos financeiros gerais","Outros lucros","Outra receita de investimento"
"67","6 Proveitos e ganhos por natureza: Proveitos e ganhos financeiros em filiais e associadas","Outros lucros","Receita de dividendos"
"68","6 Proveitos e ganhos por natureza: Outros proveitos e ganhos não operacionais","Outros lucros","Outras receitas diversas"
"69","6 Proveitos e ganhos por natureza: Proveitos e ganhos extraordinários","Outros lucros","Outras receitas diversas"
"71","7 Custos e perdas por natureza: Custo das existências vendidas","Custo de mercadorias vendidas","Outros custos das mercadorias vendidas - CMV"
"72","7 Custos e perdas por natureza: Custos com o pessoal","Despesas","Despesas com folha de pagamento"
"73","7 Custos e perdas por natureza: Amortizações do exercício","Outras despesas","Depreciação"
"75","7 Custos e perdas por natureza: Outros custos e perdas operacionais","Despesas","Despesas gerais de administração/de escritório"
"76","7 Custos e perdas por natureza: Custos e perdas financeiros gerais","Despesas","Custos de financiamento"
"77","7 Custos e perdas por natureza: Custos e perdas financeiros em filiais e associadas","Despesas","Custo de outros serviços diversos"
"78","7 Custos e perdas por natureza: Outros custos e perdas não operacionais","Outras despesas","Outras despesas"
"79","7 Custos e perdas por natureza: Custos e perdas extraordinárias","Outras despesas","Outras despesas"
"81","8 Resultados: Resultados transitados","Capital do proprietário","Lucros acumulados"
"82","8 Resultados: Resultados operacionais","Capital do proprietário","Lucros acumulados"
"83","8 Resultados: Resultados financeiros","Capital do proprietário","Lucros acumulados"
"84","8 Resultados: Resultados financeiros em filiais e associadas","Capital do proprietário","Lucros acumulados"
"85","8 Resultados: Resultados não operacionais","Capital do proprietário","Lucros acumulados"
"86","8 Resultados: Resultados extraordinários","Capital do proprietário","Lucros acumulados"
"87","8 Resultados: Imposto sobre os lucros","Despesas","Impostos pagos"
"88","8 Resultados: Resultado líquido do exercício","Capital do proprietário","Lucros acumulados"
"89","8 Resultados: Dividendos antecipados","Capital do proprietário","Distribuições aos sócios"
